TeamId,TeamName,SubmissionDate,Score
2184067,"[Kent AI Lab] Alexander Liao","2018-10-03 22:08:50",0.019
2184458,"Rupesh Sreeraman","2018-10-04 01:10:57",0.019
2184459,HagenLab,"2018-10-04 01:22:58",0.019
2184471,sggpls,"2018-10-04 01:35:20",0.035
2184459,HagenLab,"2018-10-04 02:00:20",0.030
2184459,HagenLab,"2018-10-04 02:00:38",0.037
2184446,yyqing,"2018-10-04 02:12:13",0.019
2184658,"Tetyana Yatsenko","2018-10-04 02:12:50",0.019
2261835,Dieter,"2018-10-04 02:19:15",0.019
2184471,sggpls,"2018-10-04 05:45:36",0.059
2185285,DataGeek,"2018-10-04 07:53:19",0.019
2185285,DataGeek,"2018-10-04 08:08:05",0.051
2186178,"Mana Leak","2018-10-04 09:36:17",0.019
2185646,"Mathurin Aché","2018-10-04 11:12:51",0.033
2185646,"Mathurin Aché","2018-10-04 11:14:44",0.058
2185646,"Mathurin Aché","2018-10-04 11:18:15",0.074
2185646,"Mathurin Aché","2018-10-04 11:19:16",0.092
2185646,"Mathurin Aché","2018-10-04 11:20:15",0.100
2185285,DataGeek,"2018-10-04 11:48:30",0.089
2186674,"Tony Y.","2018-10-04 11:52:49",0.019
2184554,RK,"2018-10-04 14:08:11",0.392
2186588,"Kevin Mader","2018-10-04 14:21:44",0.021
2187682,"yob cmst","2018-10-04 15:48:42",0.019
2187577,vivekkumar,"2018-10-04 15:50:59",0.021
2187515,"林湧森 (Dyson Lin)","2018-10-04 16:11:09",0.009
2186633,"Guglielmo Camporese","2018-10-04 18:29:18",0.070
2188620,RakeshNikam,"2018-10-04 18:40:59",0.021
2184431,SouravSingh,"2018-10-04 18:42:43",0.021
2188506,"azer gorai","2018-10-04 19:29:34",0.017
2186049,Marek,"2018-10-04 19:51:25",0.025
2188506,"azer gorai","2018-10-04 20:38:05",0.019
2189585,gavrand,"2018-10-04 21:59:03",0.021
2184776,"Luis Andre Dutra e Silva","2018-10-04 22:06:25",0.021
2188858,"Amit Kumar Jaiswal","2018-10-04 22:07:59",0.024
2186633,"Guglielmo Camporese","2018-10-04 22:17:29",0.098
2188301,"Supun Nakandala","2018-10-05 00:13:28",0.044
2189440,LasFuntanas,"2018-10-05 02:26:55",0.020
2184554,RK,"2018-10-05 02:47:27",0.397
2184554,RK,"2018-10-05 02:47:47",0.401
2190559,"Sridhar ","2018-10-05 03:18:42",0.021
2189139,JacksonIsaac,"2018-10-05 04:30:56",0.022
2191063,"Van de Rakt","2018-10-05 05:44:37",0.021
2188301,"Supun Nakandala","2018-10-05 05:49:37",0.047
2186121,"Azat Davletshin","2018-10-05 05:52:55",0.335
2188310,"Alexander Teplyuk","2018-10-05 05:54:37",0.027
2186121,"Azat Davletshin","2018-10-05 05:55:36",0.338
2191124,Kernels,"2018-10-05 06:00:28",0.021
2188301,"Supun Nakandala","2018-10-05 06:16:31",0.048
2186121,"Azat Davletshin","2018-10-05 06:24:26",0.355
2188448,Brian,"2018-10-05 06:33:43",0.052
2191336,TeraFlops,"2018-10-05 06:52:01",0.021
2190125,SmartSpotters,"2018-10-05 06:55:59",0.025
2185646,"Mathurin Aché","2018-10-05 07:12:09",0.111
2191321,AIMLAB,"2018-10-05 09:00:11",0.019
2191726,"Polychronis Charitidis","2018-10-05 10:27:22",0.019
2190622,"Dang-Khoa Le Tan","2018-10-05 10:38:10",0.072
2188525,"Christoffer Karlsson","2018-10-05 10:42:28",0.036
2191726,"Polychronis Charitidis","2018-10-05 11:42:35",0.040
2190975,Florentina,"2018-10-05 12:10:22",0.021
2184554,RK,"2018-10-05 12:28:14",0.432
2188525,"Christoffer Karlsson","2018-10-05 12:31:30",0.073
2190753,"Kunwar Raj Singh","2018-10-05 13:16:05",0.174
2190753,"Kunwar Raj Singh","2018-10-05 13:19:17",0.174
2187117,"Time is Money Friend!","2018-10-05 13:32:57",0.019
2189918,🔬,"2018-10-05 14:05:19",0.225
2184658,"Tetyana Yatsenko","2018-10-05 14:58:11",0.021
2188525,"Christoffer Karlsson","2018-10-05 15:28:47",0.100
2194016,"Lawrence Chernin","2018-10-05 17:22:47",0.021
2193337,"Niranjan Nakkala","2018-10-05 17:57:05",0.020
2188218,MuhammadUsman,"2018-10-05 18:06:42",0.019
2248661,mozg,"2018-10-05 18:28:13",0.049
2190872,"Nikhil Tomar","2018-10-05 18:43:24",0.020
2186588,"Kevin Mader","2018-10-05 18:50:03",0.050
2190702,Lathwal,"2018-10-05 18:54:16",0.050
2188777,Andreisun,"2018-10-05 20:26:21",0.012
2188669,Tensorboy,"2018-10-05 20:47:12",0.070
2261835,Dieter,"2018-10-05 20:49:53",0.050
2190872,"Nikhil Tomar","2018-10-05 20:57:24",0.036
2189585,gavrand,"2018-10-05 21:25:31",0.050
2189918,🔬,"2018-10-05 22:03:57",0.278
2188669,Tensorboy,"2018-10-05 22:34:01",0.137
2184471,sggpls,"2018-10-05 23:16:38",0.111
