TeamId,TeamName,SubmissionDate,Score
2464906,BiooooMod,"2018-11-30 20:45:34",0.277
2465068,"Shujian Liu","2018-11-30 21:07:22",0.277
2465148,"Niranjan Nakkala","2018-11-30 21:22:49",0.277
2465056,"Alexey Gavrikov","2018-11-30 21:42:16",0.277
2465278,"[Kent AI Lab] Alexander Liao","2018-11-30 21:45:48",0.277
2465293,Strideradu,"2018-11-30 21:49:21",0.277
2464957,"Pranshu Kumar","2018-11-30 21:59:54",0.277
2464892,zoew,"2018-11-30 22:14:14",0.277
2465456,"Whale Whale Whale, what do we have here","2018-11-30 22:22:58",0.277
2465600,"Shaun Spinelli","2018-11-30 22:51:38",0.277
2465227,"Mathurin Aché","2018-11-30 22:52:23",0.277
2465495,vinchileo,"2018-11-30 22:56:23",0.277
2464925,OxFEE1DEAD,"2018-11-30 23:25:36",0.276
2465713,"Shivam Saxena","2018-11-30 23:27:35",0.277
2464988,btk1,"2018-11-30 23:44:50",0.277
2464955,"Khoi Nguyen","2018-12-01 00:03:15",0.305
2465397,Peter,"2018-12-01 00:25:46",0.288
2466054,Xinyao,"2018-12-01 01:27:31",0.277
2466092,"Nastika Vidwan","2018-12-01 01:29:12",0.277
2464955,"Khoi Nguyen","2018-12-01 01:37:18",0.318
2465930,kojimar,"2018-12-01 01:50:37",0.277
2466235,NxGTR,"2018-12-01 02:09:48",0.315
2465930,kojimar,"2018-12-01 03:47:45",0.305
2466083,"Salman Ahmed","2018-12-01 03:49:22",0.291
2464955,"Khoi Nguyen","2018-12-01 04:12:06",0.330
2466696,"Arunkumar V Ramanan","2018-12-01 04:35:18",0.330
2466699,"Rupesh Sreeraman","2018-12-01 04:37:39",0.277
2466699,"Rupesh Sreeraman","2018-12-01 04:39:40",0.330
2466845,"Tetyana Yatsenko","2018-12-01 05:25:47",0.330
2466330,"Chandan Verma","2018-12-01 06:03:55",0.276
2466330,"Chandan Verma","2018-12-01 06:04:51",0.277
2466714,JGJP,"2018-12-01 06:08:57",0.356
2466330,"Chandan Verma","2018-12-01 06:17:38",0.330
2467072,"Truoc Pham","2018-12-01 06:31:07",0.277
2466810,DragonX,"2018-12-01 06:54:07",0.277
2466714,JGJP,"2018-12-01 07:09:08",0.357
2466797,"Ankit Sati","2018-12-01 07:18:36",0.303
2466732,ag,"2018-12-01 07:37:29",0.277
2466625,"Nguyen Xuan Bac","2018-12-01 07:38:11",0.276
2467215,TsungHan,"2018-12-01 07:49:25",0.277
2466686,"Anna Novikova","2018-12-01 07:59:26",0.276
2466699,"Rupesh Sreeraman","2018-12-01 08:53:26",0.349
2465227,"Mathurin Aché","2018-12-01 09:10:26",0.330
2466686,"Anna Novikova","2018-12-01 09:20:09",0.291
2467261,TC,"2018-12-01 09:30:55",0.290
2466417,"Nikhil Tomar","2018-12-01 09:50:05",0.278
2465676,"Simon Moisselin","2018-12-01 09:53:51",0.332
2466658,Damian,"2018-12-01 09:56:48",0.277
2466732,ag,"2018-12-01 09:58:14",0.337
2467818,"Vansh Jatana","2018-12-01 09:58:59",0.330
2466959,"Erik Gaasedelen","2018-12-01 10:14:07",0.455
2467340,"Alexander Teplyuk","2018-12-01 10:19:55",0.332
2467488,"Andrew Lukyanenko","2018-12-01 10:38:28",0.005
2464951,"Vadzim Yermakou","2018-12-01 10:57:08",0.278
2466520,Deep_patience,"2018-12-01 11:14:04",0.338
2466304,"Maksym Poplavskiy","2018-12-01 11:20:07",0.326
2466877,"Ranojoy Barua","2018-12-01 11:36:43",0.272
2467340,"Alexander Teplyuk","2018-12-01 12:13:40",0.346
2466410,TangleiZhang,"2018-12-01 12:38:41",0.005
2466699,"Rupesh Sreeraman","2018-12-01 12:45:02",0.354
2465676,"Simon Moisselin","2018-12-01 12:58:13",0.351
2466178,ManishYathnalli,"2018-12-01 13:01:47",0.433
2466658,Damian,"2018-12-01 13:02:43",0.306
2466877,"Ranojoy Barua","2018-12-01 13:08:03",0.277
2466877,"Ranojoy Barua","2018-12-01 13:13:20",0.277
2468676,deep_learners,"2018-12-01 13:22:34",0.002
2468613,"Xiong Haiquan","2018-12-01 13:28:17",0.277
2468676,deep_learners,"2018-12-01 13:35:53",0.278
2468115,"Ashish Patel(阿希什)","2018-12-01 13:49:17",0.207
2466410,TangleiZhang,"2018-12-01 14:06:37",0.304
2468857,vishu,"2018-12-01 14:40:00",0.288
2467072,"Truoc Pham","2018-12-01 14:41:58",0.332
2464925,OxFEE1DEAD,"2018-12-01 14:50:46",0.276
2464925,OxFEE1DEAD,"2018-12-01 14:51:29",0.277
2468676,deep_learners,"2018-12-01 14:57:43",0.284
2467261,TC,"2018-12-01 15:03:01",0.302
2466732,ag,"2018-12-01 15:07:42",0.358
2469038,"Patryk Binkowski","2018-12-01 15:20:51",0.361
2465676,"Simon Moisselin","2018-12-01 15:31:00",0.419
2469086,"Russ Boucher","2018-12-01 15:33:54",0.361
2469116,"Quy Nguyen","2018-12-01 15:41:26",0.361
2467488,"Andrew Lukyanenko","2018-12-01 15:54:35",0.269
2467629,MSJose,"2018-12-01 16:09:39",0.290
2468055,Marek,"2018-12-01 16:14:21",0.005
2468055,Marek,"2018-12-01 16:34:10",0.276
2466845,"Tetyana Yatsenko","2018-12-01 16:37:10",0.345
2467466,"Kirill Simakov","2018-12-01 16:58:00",0.330
2469491,"Sergey Bekkerman","2018-12-01 17:11:02",0.277
2464917,lion86,"2018-12-01 17:28:16",0.290
2468676,deep_learners,"2018-12-01 17:32:22",0.297
2467488,"Andrew Lukyanenko","2018-12-01 17:43:59",0.281
2467972,Diogo,"2018-12-01 17:53:47",0.294
2469762,"Ayman Khalafallah","2018-12-01 18:23:17",0.361
2464917,lion86,"2018-12-01 18:48:26",0.293
2464945,Heinz,"2018-12-01 18:53:30",0.288
2465369,"Tiago Leite","2018-12-01 18:53:50",0.457
2469903,Vadim,"2018-12-01 19:00:25",0.277
2468444,"[ods.ai] Artem.Sanakoev","2018-12-01 19:11:06",0.317
2466366,Alexei,"2018-12-01 19:17:04",0.000
2466366,Alexei,"2018-12-01 19:24:14",0.276
2470051,"Abroo Jalil","2018-12-01 19:38:45",0.277
2468676,deep_learners,"2018-12-01 19:44:57",0.328
2467629,MSJose,"2018-12-01 20:09:09",0.363
2466115,"Shubh Chatterjee","2018-12-01 20:14:48",0.277
2468524,"Amit Kumar Jaiswal","2018-12-01 20:24:47",0.332
2470218,"[ods.ai] Konstantin Maksimov","2018-12-01 20:26:46",0.361
2470092,TeraFlops,"2018-12-01 20:27:15",0.361
2466753,Telemachus,"2018-12-01 20:36:56",0.227
2468055,Marek,"2018-12-01 21:00:22",0.305
2470296,daten-kieker,"2018-12-01 21:07:59",0.340
2470344,"Thảo Shibe","2018-12-01 21:14:42",0.340
