TeamId,TeamName,SubmissionDate,Score
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 18:19:21",0.000
2346069,Li-Der,"2018-11-06 18:49:54",0.000
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 18:51:17",0.076
2346085,Ren,"2018-11-06 18:57:03",0.076
2346103,"Luca Massaron","2018-11-06 19:01:23",0.113
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 19:19:57",0.394
2346195,"Shujian with a single model","2018-11-06 19:22:04",0.076
2345960,"Yours Insincerly","2018-11-06 19:22:19",0.534
2346195,"Shujian with a single model","2018-11-06 19:25:53",0.394
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 19:29:08",0.399
2345945,DataGeek,"2018-11-06 19:35:36",0.615
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 19:40:56",0.421
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 19:45:40",0.466
2346257,"Licheng Zhang","2018-11-06 19:50:58",0.399
2346257,"Licheng Zhang","2018-11-06 19:55:38",0.488
2346297,大梦谁先觉,"2018-11-06 19:58:34",0.399
2346302,为了联盟！,"2018-11-06 19:59:17",0.399
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 20:09:17",0.597
2346053,"Premvardhan Kumar","2018-11-06 20:09:26",0.545
2346103,"Luca Massaron","2018-11-06 20:34:25",0.417
2346383,"Amit Kumar Jaiswal","2018-11-06 20:45:16",0.584
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 21:10:05",0.609
2346335,"Jialun He","2018-11-06 21:10:43",0.573
2346529,Thanusan,"2018-11-06 21:14:12",0.072
2346595,"Rafael Barbosa","2018-11-06 21:25:05",0.545
2346337,"Michal Haltuf","2018-11-06 21:39:37",0.636
2346493,ArzgirMan,"2018-11-06 21:42:24",0.417
2346493,ArzgirMan,"2018-11-06 21:53:02",0.418
2345952,"Nick Brooks","2018-11-06 22:02:02",0.000
2346056,JohnM,"2018-11-06 22:03:24",0.036
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-06 22:19:02",0.642
2346259,AlejandroCoronado,"2018-11-06 22:21:50",0.403
2346335,"Jialun He","2018-11-06 22:25:10",0.650
2346710,"Atanas Atanasov","2018-11-06 22:26:15",0.568
2346337,"Michal Haltuf","2018-11-06 22:50:31",0.649
2346452,"Dan Emery","2018-11-06 22:51:18",0.555
2346805,"Pierre Tisseur","2018-11-06 22:51:35",0.421
2346805,"Pierre Tisseur","2018-11-06 22:51:35",0.610
2346710,"Atanas Atanasov","2018-11-06 22:55:43",0.644
2346614,"Haihan Lan","2018-11-06 23:11:19",0.590
2346056,JohnM,"2018-11-06 23:12:41",0.248
2346823,JieWu,"2018-11-06 23:15:03",0.613
2346861,NxGTR,"2018-11-06 23:19:21",0.612
2346056,JohnM,"2018-11-06 23:28:18",0.449
2346830,"James Requa","2018-11-06 23:46:24",0.618
2346655,Sylas,"2018-11-06 23:58:31",0.208
2346297,大梦谁先觉,"2018-11-07 00:11:25",0.556
2346614,"Haihan Lan","2018-11-07 00:33:48",0.591
2346056,JohnM,"2018-11-07 00:34:14",0.450
2346493,ArzgirMan,"2018-11-07 00:44:38",0.567
2345945,DataGeek,"2018-11-07 00:50:28",0.640
2354073,"SuperTeam bit.ly/2QBpVNv","2018-11-07 01:02:01",0.645
2346383,"Amit Kumar Jaiswal","2018-11-07 01:02:50",0.622
2346831,"Artemy Bobrovskiy","2018-11-07 01:05:53",0.573
2347258,Seiha,"2018-11-07 01:34:11",0.000
2346614,"Haihan Lan","2018-11-07 01:34:42",0.633
2346297,大梦谁先觉,"2018-11-07 01:35:31",0.651
2346796,"AltaML Team","2018-11-07 01:38:01",0.642
2346102,phalanx,"2018-11-07 01:44:45",0.605
2346590,"Doğuş KIDIK","2018-11-07 02:02:08",0.562
2347221,5/7,"2018-11-07 02:36:22",0.000
2347267,Miles,"2018-11-07 02:41:48",0.554
2347438,"Talent  smith","2018-11-07 02:46:10",0.619
2347099,cer_ml,"2018-11-07 02:48:37",0.641
2346590,"Doğuş KIDIK","2018-11-07 02:49:33",0.572
2347433,"Hieu Nguyen","2018-11-07 02:53:36",0.622
2346102,phalanx,"2018-11-07 03:00:02",0.652
2347404,qianqian,"2018-11-07 03:04:19",0.631
2347527,"Edric Franco","2018-11-07 03:34:58",0.362
2347486,Genieliu,"2018-11-07 03:40:58",0.512
2346830,"James Requa","2018-11-07 03:42:06",0.646
2347731,"Tetyana Yatsenko","2018-11-07 03:50:50",0.648
2347605,crystalmatrix,"2018-11-07 04:03:31",0.644
2346056,JohnM,"2018-11-07 04:06:15",0.462
2347026,wakame,"2018-11-07 04:11:03",0.601
2346102,phalanx,"2018-11-07 04:11:47",0.662
2347840,"Joe Eddy","2018-11-07 04:16:13",0.612
2346655,Sylas,"2018-11-07 04:17:25",0.443
